class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label,attendance_rate
3rd Year,80.7,77.4,77.1,78.2,80.6,79.5,57.5,90.6,Achievable target,100.0,Pass,True,,High,49.0
2nd Year,50.0,69.1,50.0,73.8,73.3,51.3,73.3,82.6,Achievable target,100.0,Pass,True,,High,56.3
4th Year,85.6,87.3,75.8,67.5,79.1,69.6,70.6,77.4,Achievable target,75.4,Pass,True,,High,54.6
3rd Year,67.2,73.4,84.9,66.9,82.8,84.7,79.6,70.4,Achievable target,68.2,Fail,True,,Low,84.6
2nd Year,81.3,62.2,84.8,81.6,74.6,60.7,77.0,72.0,Achievable target,65.4,Fail,True,,Medium,76.7
4th Year,64.5,63.3,67.1,79.7,62.2,68.5,50.0,103.8,Cannot pass,54.9,Fail,True,,High,62.1
3rd Year,78.5,58.9,71.0,74.7,100.0,55.2,76.4,72.8,Achievable target,89.0,Pass,True,,Medium,73.4
2nd Year,57.3,90.6,75.2,78.2,74.8,85.1,61.3,88.6,Achievable target,92.5,Pass,True,,High,62.2
2nd Year,78.6,71.6,90.4,68.1,86.6,67.7,57.2,90.8,Achievable target,81.8,Pass,True,,High,60.8
3rd Year,65.9,72.7,60.9,78.7,90.3,69.0,69.3,81.4,Achievable target,73.3,Fail,True,,High,52.0
1st Year,72.5,71.1,60.4,70.7,54.8,82.3,75.1,79.4,Achievable target,86.1,Pass,True,,Medium,66.0
1st Year,62.7,76.1,88.8,100.0,66.5,75.2,55.0,93.1,Achievable target,100.0,Pass,True,,High,53.2
1st Year,90.2,76.3,71.6,78.5,74.1,59.6,78.0,70.4,Achievable target,54.7,Fail,True,,Medium,74.5
3rd Year,74.7,68.6,57.0,55.3,81.0,61.9,78.6,75.2,Achievable target,77.0,Pass,True,,Medium,69.2
3rd Year,70.2,66.4,73.5,82.7,75.5,73.5,71.6,79.1,Achievable target,100.0,Pass,True,,High,73.0
3rd Year,65.7,87.7,91.9,79.2,84.8,62.1,62.6,84.0,Achievable target,86.8,Pass,True,,High,50.4
3rd Year,87.9,86.6,80.6,80.4,79.5,50.0,61.5,84.5,Achievable target,100.0,Pass,True,,Medium,63.3
2nd Year,60.6,81.6,57.5,64.1,88.7,68.0,81.2,71.0,Achievable target,82.5,Pass,True,,High,63.1
3rd Year,83.2,90.8,70.2,59.9,70.6,53.4,56.3,93.7,Achievable target,87.9,Pass,True,,High,68.4
1st Year,74.6,74.3,86.7,69.2,77.5,85.0,81.5,67.8,Achievable target,69.9,Fail,True,,Low,86.5
1st Year,61.8,78.7,73.4,64.6,70.6,70.3,69.5,83.1,Achievable target,86.8,Pass,True,,High,63.7
3rd Year,71.2,70.2,94.1,72.2,70.5,59.3,70.2,79.5,Achievable target,75.0,Pass,True,,High,68.4
2nd Year,50.0,62.9,70.3,65.4,89.6,61.4,54.4,99.3,Achievable target,94.6,Pass,True,,High,56.2
3rd Year,71.5,88.5,74.1,73.8,72.4,50.0,69.7,79.8,Achievable target,99.9,Pass,True,,High,45.6
3rd Year,73.4,93.5,50.0,50.0,67.0,57.3,77.1,77.0,Achievable target,72.2,Fail,True,,Medium,67.3
3rd Year,73.6,81.5,78.9,68.9,85.3,78.9,58.0,90.7,Achievable target,100.0,Pass,True,,High,64.6
2nd Year,85.5,75.6,84.7,76.6,66.8,91.3,76.0,72.6,Achievable target,73.2,Fail,True,,Medium,60.9
2nd Year,81.6,74.7,73.4,90.6,50.0,75.9,72.0,78.5,Achievable target,83.2,Pass,True,,High,57.3
2nd Year,56.8,59.5,69.1,70.4,55.8,67.6,64.8,91.5,Achievable target,100.0,Pass,True,,Medium,72.8
1st Year,61.9,63.3,100.0,94.5,68.6,64.1,79.5,69.2,Achievable target,68.2,Fail,True,,Low,82.4
2nd Year,69.1,60.0,51.1,72.0,61.7,58.7,50.0,106.1,Cannot pass,56.6,Fail,True,,High,62.8
1st Year,72.4,54.7,64.5,75.1,77.7,89.5,74.5,78.6,Achievable target,63.1,Fail,True,,High,61.6
2nd Year,78.3,58.0,83.4,64.0,80.8,66.6,87.0,64.0,Achievable target,73.4,Fail,True,,Low,95.6
4th Year,73.3,57.3,69.7,77.7,80.6,90.1,85.2,66.4,Achievable target,50.0,Fail,True,,Low,87.1
1st Year,71.8,91.3,85.2,70.4,82.2,82.7,74.9,72.5,Achievable target,75.2,Pass,True,,High,52.1
1st Year,96.0,96.3,59.0,62.6,90.8,50.7,68.1,78.9,Achievable target,92.4,Pass,True,,High,52.5
2nd Year,61.0,57.9,67.7,78.3,72.2,61.7,64.9,88.9,Achievable target,100.0,Pass,True,,High,50.3
2nd Year,65.8,65.5,65.1,63.1,100.0,61.7,68.1,83.4,Achievable target,75.4,Pass,True,,High,64.6
3rd Year,76.9,83.8,67.7,71.2,65.1,67.7,76.4,74.6,Achievable target,67.9,Fail,True,,Low,81.2
2nd Year,50.0,57.3,52.2,50.0,59.4,67.9,63.2,97.4,Achievable target,95.5,Pass,True,,High,56.4
3rd Year,88.9,72.9,88.5,78.2,82.6,95.0,78.5,67.9,Achievable target,74.8,Fail,True,,Low,87.7
3rd Year,62.9,79.5,81.9,66.7,79.9,57.5,92.0,58.4,Achievable target,50.0,Fail,True,,Low,80.4
2nd Year,80.0,67.0,60.3,59.5,74.4,70.8,70.5,82.9,Achievable target,87.8,Pass,True,,High,54.7
3rd Year,77.2,64.1,73.7,80.1,80.6,74.8,57.9,92.0,Achievable target,100.0,Pass,True,,Low,75.0
1st Year,91.6,88.3,61.7,93.1,67.2,68.5,57.9,89.4,Achievable target,91.6,Pass,True,,High,48.3
1st Year,85.6,74.2,68.6,52.2,71.4,69.6,78.7,73.6,Achievable target,83.9,Pass,True,,Low,81.2
1st Year,55.2,84.7,91.1,64.1,76.9,57.8,70.5,79.8,Achievable target,87.0,Pass,True,,Medium,73.9
3rd Year,64.9,66.0,82.5,72.9,93.8,69.6,79.7,69.8,Achievable target,69.4,Fail,True,,Low,90.0
2nd Year,67.8,85.1,74.5,82.7,68.2,73.7,65.9,83.8,Achievable target,69.4,Fail,True,,High,56.9
1st Year,72.8,72.0,63.6,81.1,81.0,71.8,79.2,71.2,Achievable target,77.5,Pass,True,,Low,85.3
2nd Year,80.3,91.4,90.4,69.0,77.8,74.3,69.5,77.1,Achievable target,72.6,Fail,True,,Medium,72.2
1st Year,66.1,73.7,66.4,92.4,77.7,82.9,63.9,86.0,Achievable target,85.2,Pass,True,,High,65.7
3rd Year,70.8,87.4,50.0,50.0,82.7,78.1,67.2,86.2,Achievable target,96.0,Pass,True,,High,64.1
2nd Year,74.1,76.3,57.9,73.1,96.8,69.2,59.4,90.3,Achievable target,100.0,Pass,True,,High,59.2
2nd Year,83.0,75.4,68.3,68.8,50.0,56.5,90.6,62.4,Achievable target,67.0,Fail,True,,Medium,63.9
2nd Year,76.4,83.3,55.0,65.7,59.9,62.4,70.2,83.3,Achievable target,93.8,Pass,True,,High,64.2
3rd Year,62.1,74.0,50.0,80.6,82.2,66.3,77.4,75.2,Achievable target,65.8,Fail,True,,Medium,73.7
2nd Year,70.5,50.0,61.7,87.8,50.0,71.1,65.8,89.7,Achievable target,97.2,Pass,True,,High,66.8
1st Year,69.3,59.6,82.8,65.5,78.1,63.6,60.8,91.2,Achievable target,95.6,Pass,True,,High,56.8
1st Year,80.0,94.9,71.0,77.8,56.0,59.0,68.8,80.7,Achievable target,98.0,Pass,True,,High,72.6
4th Year,87.3,64.5,66.8,73.1,55.1,56.4,81.9,70.9,Achievable target,70.5,Fail,True,,Medium,68.5
4th Year,76.1,84.7,76.8,54.8,72.0,51.7,66.0,85.1,Achievable target,87.7,Pass,True,,High,69.7
3rd Year,82.1,51.4,60.8,83.7,76.6,66.1,62.6,89.4,Achievable target,100.0,Pass,True,,High,57.9
1st Year,78.2,95.2,78.9,81.1,100.0,53.5,72.6,71.6,Achievable target,75.7,Pass,True,,High,52.9
4th Year,70.9,64.1,78.4,78.5,67.2,58.3,76.0,75.6,Achievable target,69.5,Fail,True,,Medium,63.1
3rd Year,61.3,100.0,77.2,64.8,84.1,64.5,87.2,61.6,Achievable target,92.1,Pass,True,,Low,83.2
3rd Year,72.1,70.4,80.0,58.3,77.5,54.9,74.6,77.1,Achievable target,71.3,Fail,True,,High,68.4
2nd Year,95.8,78.9,69.0,67.5,68.6,72.4,77.4,72.1,Achievable target,76.5,Pass,True,,Low,88.1
1st Year,70.4,69.0,84.1,53.1,83.5,76.1,78.1,73.4,Achievable target,81.9,Pass,True,,Low,87.4
1st Year,69.0,77.8,60.2,88.9,88.0,62.9,59.8,89.3,Achievable target,97.0,Pass,True,,High,40.0
4th Year,84.6,55.7,83.1,78.1,54.6,64.0,61.7,90.2,Achievable target,93.3,Pass,True,,Low,87.6
2nd Year,73.1,77.7,79.9,75.5,76.8,74.0,60.5,88.7,Achievable target,91.9,Pass,True,,High,61.4
1st Year,90.6,87.7,50.0,69.7,71.5,61.2,58.0,92.5,Achievable target,95.2,Pass,True,,High,52.6
2nd Year,52.9,74.5,88.0,60.7,77.3,60.5,78.9,73.3,Achievable target,67.1,Fail,True,,Medium,66.6
3rd Year,62.7,65.5,90.7,67.1,78.8,80.7,73.9,77.1,Achievable target,100.0,Pass,True,,Medium,71.0
1st Year,51.5,95.2,80.5,71.3,80.1,77.5,71.9,77.7,Achievable target,80.5,Pass,True,,High,70.8
4th Year,56.9,87.2,69.6,71.0,67.6,74.6,50.0,102.3,Cannot pass,63.1,Fail,True,,High,48.6
3rd Year,66.6,81.5,76.4,81.0,73.3,77.9,91.2,58.4,Achievable target,60.1,Fail,True,,High,53.6
3rd Year,79.4,68.5,99.5,55.1,88.2,50.0,62.3,86.1,Achievable target,87.6,Pass,True,,High,67.9
2nd Year,89.4,63.4,99.5,85.0,84.8,82.3,91.2,54.1,Achievable target,54.5,Fail,True,,Low,81.8
3rd Year,73.7,70.9,70.9,78.0,89.8,72.5,56.9,92.3,Achievable target,81.8,Pass,True,,High,54.1
3rd Year,75.5,62.7,83.0,84.2,81.1,78.8,63.1,85.7,Achievable target,89.1,Pass,True,,High,57.8
3rd Year,82.1,70.2,62.5,63.2,54.3,72.4,50.0,104.3,Cannot pass,50.0,Fail,True,,High,47.1
1st Year,76.2,72.4,68.3,50.0,58.8,69.0,74.6,80.3,Achievable target,97.0,Pass,True,,High,58.8
2nd Year,86.5,65.6,77.6,57.1,90.2,65.7,60.3,89.5,Achievable target,82.5,Pass,True,,Low,78.0
1st Year,71.7,76.8,100.0,91.1,69.8,72.2,60.6,86.0,Achievable target,85.2,Pass,True,,High,64.1
2nd Year,66.5,69.6,79.4,72.2,68.8,65.3,57.6,94.2,Achievable target,90.2,Pass,True,,High,57.0
2nd Year,90.6,72.1,100.0,74.5,94.3,77.4,78.7,65.6,Achievable target,85.0,Pass,True,,Low,95.4
1st Year,77.6,84.7,64.9,63.4,78.8,52.3,78.1,72.5,Achievable target,68.8,Fail,True,,High,59.2
1st Year,85.0,73.9,58.3,57.5,56.7,63.0,88.9,65.5,Achievable target,76.1,Pass,True,,High,67.9
3rd Year,52.7,74.7,86.6,73.2,50.0,89.4,64.4,89.4,Achievable target,100.0,Pass,True,,High,46.6
1st Year,71.2,71.5,97.9,56.4,68.8,62.1,73.2,77.7,Achievable target,81.2,Pass,True,,High,56.0
4th Year,93.4,78.7,80.0,74.7,77.3,66.1,58.5,88.6,Achievable target,79.8,Pass,True,,Low,85.6
3rd Year,82.5,63.9,83.7,57.3,77.2,59.5,67.8,83.2,Achievable target,74.6,Fail,True,,High,71.0
2nd Year,75.5,66.2,73.1,66.1,60.9,71.9,66.0,87.3,Achievable target,100.0,Pass,True,,Medium,59.2
3rd Year,69.3,60.5,77.2,59.9,81.7,61.0,75.7,76.9,Achievable target,69.3,Fail,True,,Medium,77.9
1st Year,59.6,66.8,66.1,88.9,77.3,66.6,81.1,70.5,Achievable target,79.4,Pass,True,,Low,87.0
4th Year,70.9,79.2,50.0,72.9,96.8,77.2,80.8,69.7,Achievable target,75.8,Pass,True,,Low,91.7
2nd Year,74.9,74.2,79.8,83.9,50.0,61.4,62.8,88.4,Achievable target,97.2,Pass,True,,High,62.7
3rd Year,53.7,75.9,65.0,88.8,69.7,76.5,80.9,71.3,Achievable target,81.0,Pass,True,,Low,84.3
1st Year,50.8,58.6,50.0,70.7,71.2,76.9,70.7,86.7,Achievable target,82.4,Pass,True,,High,52.8
2nd Year,68.4,86.0,87.4,71.4,50.0,79.3,67.9,83.3,Achievable target,78.5,Pass,True,,High,47.0
2nd Year,80.6,79.9,77.0,84.9,59.8,69.9,64.2,85.1,Achievable target,97.2,Pass,True,,High,58.6
4th Year,96.9,62.2,82.2,53.7,62.5,95.0,65.6,86.2,Achievable target,84.9,Pass,True,,High,55.5
3rd Year,91.1,70.3,83.2,76.2,72.2,79.3,88.2,60.0,Achievable target,50.0,Fail,True,,Low,94.1
2nd Year,89.4,70.6,52.6,64.0,79.8,71.8,74.1,77.8,Achievable target,89.3,Pass,True,,High,52.1
1st Year,78.0,55.1,64.9,66.6,69.1,59.6,72.8,81.3,Achievable target,75.9,Pass,True,,High,59.6
2nd Year,57.3,66.0,64.9,82.4,82.9,67.5,68.5,83.6,Achievable target,93.3,Pass,True,,High,44.4
2nd Year,71.7,68.8,75.0,63.8,60.0,83.0,92.0,61.6,Achievable target,80.5,Pass,True,,Medium,68.2
2nd Year,62.4,66.0,59.8,75.3,81.9,85.9,83.9,69.1,Achievable target,74.3,Fail,True,,Medium,72.8
1st Year,54.8,73.7,70.8,77.4,73.2,83.6,64.0,88.5,Achievable target,100.0,Pass,True,,High,63.6
3rd Year,56.4,58.6,73.7,85.4,50.0,76.5,68.4,86.7,Achievable target,93.2,Pass,True,,Low,91.2
4th Year,77.4,87.3,71.6,79.8,65.2,55.7,69.0,80.4,Achievable target,100.0,Pass,True,,High,56.6
1st Year,72.0,54.4,50.0,84.4,61.9,73.5,72.5,82.7,Achievable target,77.1,Pass,True,,High,48.1
2nd Year,68.1,57.2,56.9,71.4,64.9,55.8,64.2,91.4,Achievable target,96.3,Pass,True,,High,60.7
1st Year,77.8,78.7,77.2,76.2,91.9,53.3,75.4,71.9,Achievable target,83.6,Pass,True,,Medium,74.6
3rd Year,60.9,72.8,86.7,88.2,56.8,70.9,85.3,65.7,Achievable target,68.8,Fail,True,,High,60.9
2nd Year,69.7,89.3,79.3,75.7,70.9,73.8,58.2,90.8,Achievable target,100.0,Pass,True,,High,51.4
3rd Year,68.9,76.8,70.4,72.9,74.3,77.7,60.0,91.2,Achievable target,91.9,Pass,True,,High,66.1
3rd Year,65.5,79.6,100.0,52.6,77.2,73.6,66.4,83.6,Achievable target,100.0,Pass,True,,High,57.7
3rd Year,64.5,80.2,73.9,82.3,87.2,73.9,66.8,81.9,Achievable target,100.0,Pass,True,,High,62.6
1st Year,75.7,86.6,50.0,92.0,77.8,58.5,90.7,58.6,Achievable target,66.4,Fail,True,,Low,90.4
4th Year,86.0,59.1,63.7,75.1,73.2,67.4,80.9,70.9,Achievable target,81.4,Pass,True,,High,61.9
1st Year,76.7,86.1,52.7,84.8,73.5,53.1,80.4,69.7,Achievable target,86.6,Pass,True,,Medium,73.0
1st Year,71.0,56.2,79.3,50.0,81.0,50.0,68.5,85.2,Achievable target,78.3,Pass,True,,Medium,84.0
2nd Year,55.9,74.0,72.0,87.1,71.3,76.1,68.3,83.2,Achievable target,75.1,Pass,True,,High,58.9
2nd Year,65.3,67.5,88.3,79.7,68.9,60.8,56.9,93.6,Achievable target,100.0,Pass,True,,High,54.6
3rd Year,70.6,55.1,77.9,52.8,82.2,77.4,78.8,74.8,Achievable target,82.5,Pass,True,,Medium,71.8
3rd Year,74.9,100.0,60.5,72.2,94.4,79.8,75.9,71.4,Achievable target,74.1,Fail,True,,Low,91.4
2nd Year,87.3,65.3,76.0,73.4,76.7,62.2,83.7,65.9,Achievable target,71.0,Fail,True,,Low,84.6
4th Year,65.2,72.4,54.7,75.0,78.7,74.5,69.0,83.9,Achievable target,65.0,Fail,True,,High,61.2
2nd Year,70.7,54.5,85.0,77.7,64.9,61.8,69.7,82.5,Achievable target,85.6,Pass,True,,High,66.6
2nd Year,70.1,55.8,61.4,67.1,87.8,50.0,72.8,80.5,Achievable target,78.0,Pass,True,,High,52.9
1st Year,65.9,80.9,67.1,76.3,71.7,69.8,79.8,71.5,Achievable target,85.7,Pass,True,,Low,75.4
4th Year,83.6,67.1,55.0,57.2,67.2,63.7,56.7,97.8,Achievable target,100.0,Pass,True,,High,59.4
1st Year,58.8,78.2,68.0,100.0,53.1,64.0,78.3,73.4,Achievable target,84.2,Pass,True,,Low,85.1
1st Year,75.8,60.2,67.6,75.1,50.0,88.6,70.9,83.7,Achievable target,92.7,Pass,True,,Medium,66.7
2nd Year,76.2,95.7,68.1,76.4,85.4,52.9,60.7,86.6,Achievable target,76.6,Pass,True,,High,64.0
4th Year,71.5,66.6,50.0,80.9,72.1,72.4,50.7,102.7,Cannot pass,55.3,Fail,True,,High,61.9
4th Year,61.6,74.9,66.6,67.2,80.5,58.4,69.8,82.6,Achievable target,93.9,Pass,True,,High,49.0
3rd Year,57.7,85.7,57.0,65.6,95.9,77.8,85.3,66.0,Achievable target,83.5,Pass,True,,Low,86.6
4th Year,86.6,74.5,62.4,67.2,74.3,71.5,87.5,63.5,Achievable target,89.7,Pass,True,,Low,83.0
4th Year,73.8,72.3,73.0,70.9,56.5,72.4,74.6,78.2,Achievable target,66.3,Fail,True,,High,45.1
2nd Year,67.4,84.1,57.4,71.2,63.8,58.9,90.3,62.8,Achievable target,63.9,Fail,True,,Medium,74.2
2nd Year,74.7,68.9,90.7,79.3,58.1,60.7,70.7,79.6,Achievable target,77.2,Pass,True,,High,56.6
3rd Year,81.3,64.3,66.6,77.1,67.6,78.0,80.4,71.4,Achievable target,78.1,Pass,True,,Low,80.3
3rd Year,83.8,64.3,66.2,65.7,66.8,86.6,66.7,86.1,Achievable target,91.2,Pass,True,,High,61.2
2nd Year,86.3,80.8,93.4,99.9,61.3,73.4,66.1,79.2,Achievable target,81.9,Pass,True,,High,60.9
1st Year,74.2,59.6,64.3,66.0,61.0,59.3,64.5,90.5,Achievable target,100.0,Pass,True,,High,52.4
3rd Year,61.1,71.7,59.2,83.3,62.7,72.0,50.9,102.8,Cannot pass,50.0,Fail,True,,High,60.2
1st Year,100.0,68.1,74.2,58.2,93.4,93.3,83.7,64.4,Achievable target,59.0,Fail,True,,Medium,78.1
4th Year,86.5,76.9,57.6,75.9,60.3,69.5,64.8,87.0,Achievable target,81.8,Pass,True,,High,51.3
1st Year,90.5,82.9,74.5,50.0,61.9,83.4,63.2,88.3,Achievable target,89.7,Pass,True,,High,60.0
1st Year,81.4,87.6,86.4,54.8,76.9,60.9,59.5,89.3,Achievable target,82.0,Pass,True,,High,57.0
4th Year,85.3,54.0,73.3,76.6,69.9,68.1,69.1,82.5,Achievable target,87.0,Pass,True,,High,73.0
1st Year,51.7,69.6,69.6,71.7,66.8,74.8,88.4,66.2,Achievable target,69.5,Fail,True,,Medium,58.0
1st Year,68.2,72.9,78.6,69.8,68.6,72.6,91.6,60.1,Achievable target,57.2,Fail,True,,Low,87.5
3rd Year,74.5,50.9,79.0,73.4,73.9,60.7,54.8,97.5,Achievable target,100.0,Pass,True,,High,54.6
4th Year,84.6,50.6,50.3,76.6,73.3,60.2,67.6,86.4,Achievable target,90.8,Pass,True,,High,56.2
1st Year,75.4,68.0,81.2,84.3,79.1,78.6,61.0,87.7,Achievable target,100.0,Pass,True,,High,72.2
2nd Year,70.3,50.0,82.4,87.7,80.9,80.7,80.8,69.6,Achievable target,72.6,Fail,True,,Low,84.0
3rd Year,63.1,81.3,83.5,91.6,63.1,83.9,73.9,75.3,Achievable target,80.1,Pass,True,,Medium,84.0
4th Year,70.8,82.1,74.1,60.3,78.3,86.9,64.9,86.0,Achievable target,85.4,Pass,True,,High,53.5
2nd Year,80.2,74.4,76.0,70.4,90.7,69.9,71.8,76.5,Achievable target,81.4,Pass,True,,High,59.8
1st Year,62.9,66.5,73.5,83.7,55.9,65.3,66.4,86.8,Achievable target,98.9,Pass,True,,High,53.1
1st Year,58.1,50.0,73.8,60.3,68.9,82.3,86.9,69.5,Achievable target,70.4,Fail,True,,Medium,66.2
1st Year,81.1,65.9,76.1,69.9,81.3,75.8,76.5,73.6,Achievable target,83.8,Pass,True,,Low,84.3
1st Year,79.0,65.3,71.4,85.6,78.0,58.5,77.7,71.9,Achievable target,68.8,Fail,True,,Medium,69.0
3rd Year,57.1,81.1,60.7,89.9,85.4,58.0,50.0,100.1,Cannot pass,62.7,Fail,True,,Low,85.0
1st Year,76.8,75.2,71.0,81.3,69.1,73.5,70.4,79.8,Achievable target,79.0,Pass,True,,High,40.2
2nd Year,76.2,83.6,66.8,66.2,59.4,66.7,91.5,60.8,Achievable target,74.3,Fail,True,,Low,94.0
3rd Year,60.9,52.0,81.9,94.6,90.1,68.2,84.1,65.4,Achievable target,71.0,Fail,True,,Low,83.2
3rd Year,54.4,81.9,90.0,68.1,74.6,79.4,53.0,97.6,Achievable target,100.0,Pass,True,,High,70.9
1st Year,50.0,76.5,61.0,75.7,55.1,76.2,68.0,87.7,Achievable target,81.2,Pass,True,,High,48.9
3rd Year,79.8,85.4,64.2,60.1,50.0,82.1,59.3,94.2,Achievable target,84.4,Pass,True,,High,59.3
3rd Year,70.3,66.6,55.3,78.7,68.1,50.0,87.9,65.7,Achievable target,64.5,Fail,True,,Medium,84.0
3rd Year,60.8,66.9,85.9,80.5,71.9,71.1,73.5,77.4,Achievable target,68.6,Fail,True,,Medium,64.9
1st Year,80.6,59.8,73.8,75.1,67.9,75.6,63.6,88.2,Achievable target,79.4,Pass,True,,High,45.0
1st Year,78.5,64.3,79.4,79.9,50.0,52.9,71.4,80.9,Achievable target,92.1,Pass,True,,High,52.6
4th Year,87.3,50.0,66.2,85.4,69.7,61.8,50.0,101.6,Cannot pass,50.4,Fail,True,,Low,86.4
2nd Year,56.2,60.6,85.4,50.9,86.6,59.9,60.5,93.0,Achievable target,93.2,Pass,True,,High,62.5
2nd Year,72.8,59.4,66.6,61.5,83.5,68.7,71.5,81.6,Achievable target,82.7,Pass,True,,High,67.3
2nd Year,82.0,53.3,68.7,63.3,88.5,85.1,79.4,72.5,Achievable target,71.5,Fail,True,,Low,82.7
3rd Year,57.6,92.2,73.0,59.8,65.5,89.1,52.1,100.6,Cannot pass,66.0,Fail,True,,Medium,59.8
4th Year,64.0,58.5,74.5,59.0,50.0,60.2,67.4,89.5,Achievable target,87.1,Pass,True,,High,53.5
2nd Year,69.0,52.3,64.6,62.8,63.2,73.9,81.0,75.3,Achievable target,67.1,Fail,True,,Medium,79.7
