class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label
2nd Year,88.5,99.5,79.4,65.5,83.4,66.7,84.8,63.2,Achievable target,77.9,Pass,True,,Low
1st Year,85.9,85.3,90.7,94.0,95.0,64.1,79.1,55.6,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,78.0,69.1,74.9,88.7,69.8,65.7,88.8,69.9,Achievable target,74.7,Pass,True,,Low
4th Year,89.1,80.4,77.1,67.2,66.9,58.2,78.9,75.6,Borderline,76.7,Pass,True,,Medium
4th Year,98.1,90.7,79.9,80.5,78.6,72.4,78.1,61.2,Achievable target,50.0,Fail,False,Underperformance,Medium
1st Year,89.8,59.6,69.7,63.0,68.6,65.6,62.2,85.7,Borderline,75.3,Fail,False,Ambiguity,High
4th Year,58.1,59.2,70.3,59.6,65.7,86.6,63.3,77.8,Borderline,65.9,Fail,False,Ambiguity,High
4th Year,84.1,76.3,93.4,67.3,78.3,83.0,88.2,59.6,Achievable target,71.4,Pass,True,,Low
2nd Year,62.6,59.3,81.0,66.5,80.9,59.0,82.9,86.7,Borderline,89.4,Pass,True,,Low
3rd Year,64.1,94.4,70.9,82.8,78.2,86.1,77.2,63.0,Achievable target,82.8,Pass,True,,Low
1st Year,93.6,64.0,80.2,95.7,87.3,82.9,70.6,60.9,Achievable target,68.8,Pass,True,,High
4th Year,72.3,67.8,67.1,65.3,69.0,61.5,83.2,83.4,Borderline,87.0,Pass,True,,Medium
2nd Year,77.1,57.6,54.8,50.3,51.5,71.3,77.6,88.5,Cannot pass,100.0,Pass,False,Overperformance,Medium
1st Year,68.9,74.2,61.5,50.3,69.0,77.8,57.2,90.3,Cannot pass,86.9,Fail,True,,High
2nd Year,84.7,92.1,90.6,95.9,92.6,70.2,79.1,57.7,Achievable target,65.0,Pass,True,,Medium
1st Year,79.5,89.2,70.8,74.7,73.1,60.2,64.1,82.4,Borderline,80.1,Fail,False,Ambiguity,Medium
2nd Year,66.7,69.5,91.1,65.7,96.2,84.0,65.0,68.0,Achievable target,55.0,Fail,False,Underperformance,High
4th Year,84.3,80.7,76.3,67.6,80.0,85.7,74.6,84.3,Borderline,75.0,Fail,False,Ambiguity,High
1st Year,89.9,62.3,63.7,74.8,72.9,74.1,58.5,80.7,Borderline,68.6,Fail,False,Ambiguity,High
2nd Year,71.0,73.0,70.5,75.3,70.0,65.1,67.0,89.2,Cannot pass,83.0,Fail,True,,High
3rd Year,77.9,71.7,52.9,69.0,57.1,70.6,73.2,95.1,Cannot pass,82.9,Fail,True,,High
4th Year,64.3,77.7,73.1,66.6,61.8,51.4,54.0,90.3,Cannot pass,82.2,Fail,True,,High
2nd Year,81.2,70.9,66.0,74.9,93.0,74.1,85.4,70.9,Achievable target,67.8,Fail,False,Underperformance,Medium
4th Year,98.4,77.3,63.9,97.1,95.6,78.1,79.0,55.5,Achievable target,72.1,Pass,True,,Low
2nd Year,63.3,88.0,98.1,93.5,72.5,64.5,90.3,74.4,Achievable target,85.5,Pass,True,,Low
3rd Year,79.6,78.0,66.5,65.7,70.8,87.3,67.2,55.9,Achievable target,67.3,Pass,True,,High
1st Year,62.4,75.6,69.1,77.7,87.1,61.5,84.4,87.6,Borderline,100.0,Pass,True,,Low
4th Year,85.6,86.3,88.2,62.6,98.4,80.0,85.7,59.8,Achievable target,61.0,Pass,True,,Low
2nd Year,73.7,71.4,68.2,65.2,74.4,68.3,86.1,77.4,Borderline,84.5,Pass,True,,Low
4th Year,67.4,66.0,70.6,80.4,59.1,69.4,50.7,91.1,Cannot pass,81.3,Fail,True,,High
4th Year,69.8,71.7,73.9,66.5,69.3,61.1,51.2,89.2,Cannot pass,75.8,Fail,True,,High
3rd Year,62.6,83.2,90.5,93.4,82.7,81.0,83.2,72.3,Achievable target,69.0,Fail,False,Underperformance,Medium
1st Year,63.0,93.8,64.9,69.4,62.1,75.9,72.7,54.3,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,82.3,86.5,78.5,61.1,66.7,84.4,59.7,80.7,Borderline,99.6,Pass,True,,High
4th Year,70.6,79.0,72.1,81.9,58.0,61.3,75.4,78.3,Borderline,64.6,Fail,False,Ambiguity,Medium
1st Year,86.3,84.0,73.3,82.5,65.9,71.8,62.9,87.1,Borderline,100.0,Pass,True,,High
2nd Year,95.3,98.5,70.7,97.4,83.7,75.3,79.3,58.9,Achievable target,52.4,Fail,False,Underperformance,High
2nd Year,65.1,80.9,95.7,85.9,81.8,75.4,76.5,55.4,Achievable target,72.1,Pass,True,,Low
4th Year,72.9,74.3,68.4,77.6,59.3,74.7,70.4,97.6,Cannot pass,84.0,Fail,True,,Medium
2nd Year,89.8,70.9,83.9,81.6,71.9,84.8,68.8,82.9,Borderline,79.9,Fail,False,Ambiguity,High
1st Year,93.9,77.1,77.0,71.3,80.7,86.4,89.0,51.8,Achievable target,63.7,Pass,True,,Low
1st Year,69.7,64.3,62.8,65.1,68.6,64.0,63.2,97.8,Cannot pass,82.6,Fail,True,,High
4th Year,92.4,94.4,67.8,84.1,72.8,84.4,69.9,67.5,Achievable target,73.3,Pass,True,,High
1st Year,88.3,69.6,85.9,89.6,85.9,62.0,81.6,75.5,Borderline,83.9,Pass,True,,Low
2nd Year,88.2,82.2,76.7,92.9,89.0,76.6,88.9,56.0,Achievable target,51.7,Fail,False,Underperformance,Medium
1st Year,81.1,57.9,58.0,54.5,77.5,56.3,64.1,99.9,Cannot pass,98.7,Fail,True,,Medium
1st Year,81.5,92.7,75.5,77.6,68.4,84.5,85.8,53.6,Achievable target,62.0,Pass,True,,Low
2nd Year,62.1,73.4,83.1,74.7,72.3,76.3,68.3,63.8,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,65.5,94.1,68.6,91.1,75.7,85.7,69.0,54.9,Achievable target,65.3,Pass,True,,High
4th Year,70.6,89.5,93.8,65.1,95.5,86.1,88.2,68.2,Achievable target,82.0,Pass,True,,Low
1st Year,86.8,96.9,65.8,74.0,64.8,90.4,75.9,67.6,Achievable target,84.5,Pass,True,,Low
4th Year,55.2,75.6,78.4,51.6,74.1,59.9,68.2,94.2,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,66.4,65.9,86.2,75.4,70.2,83.1,82.9,64.0,Achievable target,82.8,Pass,True,,Low
4th Year,76.7,52.4,73.7,81.6,77.1,66.2,67.5,92.2,Cannot pass,78.3,Fail,True,,High
3rd Year,89.9,73.3,59.0,76.7,60.9,64.3,66.9,85.2,Borderline,80.7,Fail,False,Ambiguity,High
1st Year,58.5,85.8,79.9,58.3,57.9,73.8,65.5,83.4,Borderline,92.6,Pass,True,,High
1st Year,72.9,87.8,64.1,98.3,99.3,84.4,76.5,55.7,Achievable target,50.0,Fail,False,Underperformance,Medium
1st Year,70.4,79.1,79.6,93.4,88.0,81.7,81.8,57.0,Achievable target,50.0,Fail,False,Underperformance,Medium
4th Year,75.2,63.9,64.0,57.9,56.7,66.5,56.5,88.8,Cannot pass,73.2,Fail,True,,High
4th Year,76.4,78.4,93.0,74.2,90.8,90.2,82.2,61.2,Achievable target,76.4,Pass,True,,Low
4th Year,77.7,82.0,74.1,66.0,77.8,66.6,74.9,64.5,Achievable target,83.2,Pass,True,,High
4th Year,77.5,72.1,57.7,65.2,60.9,63.5,65.2,80.6,Borderline,91.7,Pass,True,,High
4th Year,55.2,53.0,67.6,60.5,67.5,56.2,50.7,99.3,Cannot pass,96.2,Fail,True,,High
4th Year,54.7,81.4,69.8,69.5,81.6,52.5,77.3,90.4,Cannot pass,77.6,Fail,True,,Medium
1st Year,62.3,79.8,54.8,81.9,62.1,68.2,77.1,88.7,Cannot pass,70.2,Fail,True,,Medium
1st Year,80.2,61.9,74.6,79.2,72.1,61.6,64.3,87.0,Borderline,88.6,Pass,True,,High
2nd Year,90.0,57.2,62.3,79.2,59.0,74.7,77.5,83.2,Borderline,75.3,Fail,False,Ambiguity,Medium
3rd Year,69.0,56.6,68.0,78.2,71.3,63.2,59.0,89.0,Cannot pass,94.7,Pass,False,Overperformance,High
2nd Year,89.6,64.3,83.9,62.6,66.4,69.5,66.7,86.2,Borderline,100.0,Pass,True,,High
2nd Year,62.1,82.6,61.9,87.1,74.1,67.1,61.7,75.2,Borderline,69.5,Fail,False,Ambiguity,High
4th Year,83.3,89.0,60.3,76.5,65.5,73.3,66.6,79.0,Borderline,67.1,Fail,False,Ambiguity,High
4th Year,72.5,78.5,61.2,87.7,73.7,81.6,76.6,84.9,Borderline,99.5,Pass,True,,Low
3rd Year,77.2,66.2,60.3,77.0,59.2,64.2,58.8,82.7,Borderline,78.6,Fail,False,Ambiguity,High
3rd Year,83.1,84.1,67.2,75.1,75.6,71.2,76.7,77.9,Borderline,97.5,Pass,True,,Low
3rd Year,84.4,76.6,65.1,81.6,59.8,80.2,74.7,76.6,Borderline,79.1,Pass,True,,High
2nd Year,59.4,78.5,74.4,72.3,58.9,69.9,76.5,89.1,Cannot pass,96.3,Pass,False,Overperformance,Medium
1st Year,62.6,73.8,65.2,68.3,60.1,54.0,57.5,98.3,Cannot pass,85.9,Fail,True,,High
3rd Year,92.0,64.4,71.6,70.7,99.4,83.5,80.9,50.1,Achievable target,54.6,Pass,True,,Low
4th Year,76.4,97.1,91.1,79.0,90.5,91.3,76.4,66.7,Achievable target,85.2,Pass,True,,Low
1st Year,95.7,65.7,86.6,91.7,85.4,77.4,80.9,53.9,Achievable target,59.0,Pass,True,,Low
4th Year,69.1,64.1,57.8,78.2,62.0,62.5,61.5,90.2,Cannot pass,75.3,Fail,True,,High
2nd Year,62.6,98.6,93.0,89.5,95.0,89.3,72.8,65.9,Achievable target,78.5,Pass,True,,High
4th Year,57.1,53.6,71.1,75.0,74.4,58.9,55.7,93.4,Cannot pass,82.1,Fail,True,,High
2nd Year,85.9,87.2,85.1,88.8,72.4,58.4,59.5,80.5,Borderline,74.6,Fail,False,Ambiguity,Medium
1st Year,88.5,63.4,88.7,82.1,78.2,77.3,66.9,84.0,Borderline,88.6,Pass,True,,High
2nd Year,59.7,58.2,72.8,71.0,64.4,67.7,54.5,96.1,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,62.4,68.0,67.9,72.0,63.3,62.8,73.3,76.8,Borderline,90.9,Pass,True,,High
3rd Year,63.7,78.8,53.1,51.4,73.1,71.3,73.6,88.7,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,67.0,62.7,89.9,59.1,84.3,76.2,79.1,85.0,Borderline,100.0,Pass,True,,Low
2nd Year,62.0,84.7,75.4,66.7,69.1,72.6,65.0,51.5,Achievable target,69.9,Pass,True,,High
2nd Year,89.4,88.8,61.7,80.6,76.8,77.7,59.9,77.6,Borderline,80.1,Pass,True,,High
4th Year,89.6,79.2,80.5,89.5,79.4,58.2,83.0,80.1,Borderline,81.2,Pass,True,,Medium
3rd Year,97.6,71.8,80.7,68.6,64.2,65.3,84.1,72.5,Achievable target,76.2,Pass,True,,Low
4th Year,63.4,57.9,75.3,80.1,78.4,68.6,73.7,76.3,Borderline,80.2,Pass,True,,Medium
1st Year,90.9,97.1,96.8,86.7,97.3,75.1,63.1,51.6,Achievable target,50.0,Fail,False,Underperformance,High
3rd Year,68.6,80.1,83.1,76.5,61.8,79.4,67.6,75.2,Borderline,81.5,Pass,True,,High
1st Year,72.4,92.9,90.9,88.4,67.3,86.4,82.6,55.1,Achievable target,68.4,Pass,True,,Low
3rd Year,78.7,66.3,81.7,65.8,68.2,66.8,90.7,57.4,Achievable target,65.2,Pass,True,,Low
2nd Year,96.1,83.4,96.9,73.4,66.4,79.1,73.0,70.8,Achievable target,88.6,Pass,True,,High
1st Year,81.1,67.7,58.7,65.6,51.2,72.5,52.8,91.7,Cannot pass,80.0,Fail,True,,High
2nd Year,59.6,80.0,59.4,72.7,68.2,63.8,62.7,85.7,Borderline,100.0,Pass,True,,High
1st Year,88.7,76.6,78.2,80.4,80.2,81.6,71.5,82.5,Borderline,89.6,Pass,True,,High
1st Year,78.9,58.1,66.1,60.1,63.3,76.2,75.9,80.9,Borderline,83.6,Pass,True,,Medium
3rd Year,75.4,89.4,84.0,80.7,80.5,91.0,84.9,62.9,Achievable target,73.0,Pass,True,,Low
4th Year,88.1,67.5,65.4,90.0,80.7,58.4,58.9,75.4,Borderline,87.7,Pass,True,,Medium
2nd Year,97.5,97.6,82.8,85.4,73.1,64.9,84.4,52.6,Achievable target,55.3,Pass,True,,Low
2nd Year,57.4,71.3,80.4,83.4,76.9,82.4,69.2,86.9,Borderline,97.5,Pass,True,,High
3rd Year,80.2,58.8,50.8,57.8,61.7,59.8,64.7,98.6,Cannot pass,92.0,Fail,True,,High
1st Year,74.9,93.2,68.0,65.9,81.1,82.5,86.1,65.3,Achievable target,81.0,Pass,True,,Low
3rd Year,51.1,53.7,51.2,60.5,65.9,60.0,65.7,93.8,Cannot pass,79.9,Fail,True,,High
2nd Year,67.5,68.4,76.3,76.7,67.4,66.9,77.8,84.1,Borderline,80.5,Fail,False,Ambiguity,High
4th Year,78.6,51.2,77.4,55.2,66.2,61.9,50.3,99.0,Cannot pass,89.3,Fail,True,,High
2nd Year,59.2,77.7,79.5,67.8,56.5,69.2,65.4,99.3,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,54.4,72.4,81.2,50.9,73.7,76.0,52.1,89.3,Cannot pass,75.2,Fail,True,,High
2nd Year,59.3,84.5,74.3,86.9,86.0,81.4,72.5,78.5,Borderline,89.1,Pass,True,,High
4th Year,87.0,67.1,81.4,64.1,73.4,69.7,81.0,70.5,Achievable target,72.5,Pass,True,,Low
3rd Year,85.4,68.3,78.7,70.3,62.1,72.9,59.6,87.3,Borderline,68.7,Fail,False,Ambiguity,High
4th Year,75.6,75.4,89.5,65.2,59.5,73.9,66.9,79.5,Borderline,78.4,Fail,False,Ambiguity,High
4th Year,65.7,63.2,58.3,69.0,86.0,67.1,77.4,85.6,Borderline,92.8,Pass,True,,Medium
3rd Year,88.3,83.3,62.0,63.3,99.7,85.7,90.2,73.5,Achievable target,72.1,Fail,False,Underperformance,High
3rd Year,64.4,75.3,50.2,59.2,74.0,72.2,67.4,91.6,Cannot pass,98.5,Pass,False,Overperformance,High
2nd Year,78.7,79.0,83.0,77.6,83.0,75.5,87.0,73.6,Achievable target,54.9,Fail,False,Underperformance,Medium
4th Year,64.1,72.6,76.8,68.0,72.4,71.0,68.9,97.0,Cannot pass,92.0,Fail,True,,High
1st Year,76.4,57.1,85.2,77.1,61.3,81.5,78.5,85.6,Borderline,94.1,Pass,True,,Low
1st Year,63.2,68.3,50.0,70.6,73.0,65.9,63.9,97.7,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,98.4,88.9,99.5,98.9,96.9,84.9,80.7,54.5,Achievable target,65.8,Pass,True,,Low
3rd Year,66.7,77.8,53.5,62.2,66.2,62.1,53.0,89.8,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,63.9,62.6,80.0,68.2,88.8,86.1,69.6,65.4,Achievable target,69.3,Pass,True,,High
3rd Year,95.8,82.7,95.7,70.6,74.5,76.7,76.9,75.9,Achievable target,79.1,Pass,True,,Low
2nd Year,94.8,83.0,75.1,81.7,73.1,86.2,77.5,74.1,Achievable target,61.2,Fail,False,Underperformance,High
4th Year,80.5,73.6,86.8,63.1,89.1,81.4,82.8,81.8,Borderline,98.7,Pass,True,,Low
2nd Year,74.4,54.5,59.8,64.3,60.3,60.8,73.0,91.1,Cannot pass,75.9,Fail,True,,High
3rd Year,91.1,92.1,77.3,89.5,96.8,86.2,74.3,62.6,Achievable target,78.4,Pass,True,,High
3rd Year,83.5,67.8,83.6,59.9,58.5,86.9,83.1,87.4,Borderline,100.0,Pass,True,,Low
1st Year,72.9,66.9,81.0,70.4,97.6,63.1,67.2,56.4,Achievable target,61.2,Pass,True,,High
1st Year,86.9,74.4,85.4,95.8,84.9,83.1,73.6,54.2,Achievable target,61.2,Pass,True,,High
3rd Year,77.5,66.2,71.9,84.6,79.1,73.8,83.6,84.4,Borderline,71.2,Fail,False,Ambiguity,High
4th Year,66.0,98.7,84.8,77.8,84.4,64.8,86.8,55.6,Achievable target,71.9,Pass,True,,Low
2nd Year,66.1,58.0,83.9,62.8,58.7,79.7,67.5,80.5,Borderline,86.1,Pass,True,,High
2nd Year,73.3,70.0,73.8,69.7,74.1,65.4,67.6,60.8,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,70.1,96.5,95.8,87.8,71.1,75.2,69.1,53.3,Achievable target,61.6,Pass,True,,High
2nd Year,68.9,77.2,66.8,68.4,83.1,83.3,66.7,83.0,Borderline,89.3,Pass,True,,High
4th Year,73.6,55.5,63.6,65.6,55.9,52.6,59.7,99.4,Cannot pass,86.7,Fail,True,,High
3rd Year,51.2,69.2,53.0,67.4,74.1,61.9,58.4,88.6,Cannot pass,87.1,Fail,True,,High
3rd Year,86.2,65.1,75.9,79.6,59.0,61.6,66.9,84.4,Borderline,93.7,Pass,True,,High
3rd Year,77.8,74.3,81.8,74.1,77.3,73.3,70.4,97.6,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,70.4,66.5,77.2,63.8,76.2,72.4,76.9,91.0,Cannot pass,76.5,Fail,True,,Medium
3rd Year,87.9,86.9,75.9,76.1,62.5,86.2,64.7,85.1,Borderline,69.0,Fail,False,Ambiguity,High
2nd Year,64.0,63.2,85.3,73.9,60.0,78.5,64.5,87.3,Borderline,94.2,Pass,True,,High
3rd Year,59.8,73.9,71.9,81.8,72.3,67.3,64.8,78.9,Borderline,97.5,Pass,True,,High
1st Year,99.6,74.4,65.4,71.5,64.2,85.9,77.9,58.8,Achievable target,72.3,Pass,True,,Low
4th Year,80.1,80.8,71.8,76.2,75.4,63.8,69.7,88.9,Cannot pass,73.5,Fail,True,,High
4th Year,52.7,76.8,79.9,57.2,66.8,76.0,76.9,89.5,Cannot pass,97.2,Pass,False,Overperformance,Medium
2nd Year,64.3,67.7,57.8,62.1,75.6,76.6,76.5,85.9,Borderline,77.0,Fail,False,Ambiguity,Medium
4th Year,50.5,56.6,60.0,55.7,50.6,54.4,68.7,95.6,Cannot pass,76.8,Fail,True,,High
2nd Year,83.6,67.2,83.4,64.3,78.4,74.3,75.4,57.3,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,82.4,77.7,74.8,58.0,80.9,73.3,65.1,79.6,Borderline,60.8,Fail,False,Ambiguity,High
2nd Year,80.1,85.6,77.7,79.9,73.0,75.8,82.9,51.0,Achievable target,67.1,Pass,True,,Low
4th Year,87.9,86.4,86.8,85.1,98.4,77.7,84.2,68.3,Achievable target,73.8,Pass,True,,Low
2nd Year,71.0,66.2,69.1,69.9,76.9,63.6,81.1,81.1,Borderline,95.5,Pass,True,,Low
3rd Year,65.0,50.9,71.6,61.0,80.4,59.1,65.8,91.1,Cannot pass,78.3,Fail,True,,High
1st Year,61.9,56.5,53.6,53.8,82.0,61.5,50.1,99.4,Cannot pass,98.1,Fail,True,,High
1st Year,89.3,96.8,89.1,79.6,99.0,64.1,91.6,72.1,Achievable target,90.7,Pass,True,,Low
4th Year,61.7,78.9,74.0,74.3,87.5,75.6,66.3,80.6,Borderline,84.1,Pass,True,,High
3rd Year,54.6,75.9,72.6,67.0,62.0,68.7,72.8,98.6,Cannot pass,87.2,Fail,True,,High
2nd Year,81.4,80.0,94.9,76.7,77.0,71.8,78.0,64.2,Achievable target,50.6,Fail,False,Underperformance,Medium
3rd Year,64.2,85.6,68.4,87.5,63.8,73.8,73.1,86.6,Borderline,90.2,Pass,True,,High
3rd Year,82.2,84.3,81.4,63.4,80.9,70.6,72.9,66.9,Achievable target,56.4,Fail,False,Underperformance,High
2nd Year,64.8,69.1,69.3,85.1,68.8,88.6,69.1,52.4,Achievable target,70.0,Pass,True,,High
1st Year,71.0,88.6,88.2,80.6,59.3,74.8,86.7,88.3,Borderline,91.3,Pass,True,,Low
3rd Year,74.0,66.9,88.4,72.4,75.1,65.6,77.4,54.1,Achievable target,63.3,Pass,True,,Low
3rd Year,98.2,67.5,81.8,69.5,64.9,68.9,64.6,53.6,Achievable target,64.0,Pass,True,,High
2nd Year,52.8,64.1,68.6,57.5,61.9,52.0,56.2,93.6,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,89.3,71.0,59.7,67.7,64.8,57.4,59.9,81.3,Borderline,73.9,Fail,False,Ambiguity,High
1st Year,72.9,61.4,77.3,57.7,67.2,55.2,63.9,89.8,Cannot pass,85.8,Fail,True,,High
4th Year,65.7,62.7,87.7,58.4,75.6,73.4,64.5,81.3,Borderline,84.0,Pass,True,,High
2nd Year,64.3,63.4,67.4,86.8,83.3,85.4,76.6,84.3,Borderline,74.2,Fail,False,Ambiguity,Medium
2nd Year,66.3,61.4,70.5,67.5,54.0,61.0,58.8,98.2,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,78.8,90.6,67.1,97.1,80.3,70.5,70.0,56.9,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,88.3,79.1,75.1,71.8,84.3,82.5,65.8,88.3,Borderline,79.8,Fail,False,Ambiguity,High
3rd Year,88.9,80.2,62.3,76.3,60.9,80.7,65.4,84.7,Borderline,66.4,Fail,False,Ambiguity,High
3rd Year,62.6,70.7,63.4,55.6,50.9,61.4,68.2,94.9,Cannot pass,90.9,Fail,True,,High
3rd Year,69.2,66.0,81.1,67.2,74.8,84.7,73.2,83.6,Borderline,86.0,Pass,True,,High
4th Year,65.8,91.1,93.8,69.1,70.3,72.4,80.1,66.2,Achievable target,80.2,Pass,True,,Low
3rd Year,66.7,78.7,75.5,67.1,86.9,59.9,78.4,85.2,Borderline,66.8,Fail,False,Ambiguity,Medium
2nd Year,67.6,84.3,82.4,73.5,82.3,65.0,74.7,87.1,Borderline,94.2,Pass,True,,High
4th Year,80.4,75.5,78.4,62.3,81.9,54.3,64.5,93.8,Cannot pass,77.6,Fail,True,,High
4th Year,81.1,77.7,71.1,73.8,73.8,57.6,72.1,87.0,Borderline,72.5,Fail,False,Ambiguity,High
