class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type
4th Year,76.8,96.2,83.4,87.8,94.3,78.3,74.1,68.4,Achievable target,80.4,Pass,True,None
1st Year,79.0,79.1,97.9,96.9,69.3,71.1,79.3,66.4,Achievable target,79.5,Pass,True,None
4th Year,77.6,85.5,68.4,89.4,73.8,85.4,74.8,65.4,Achievable target,91.5,Pass,True,None
2nd Year,70.6,84.9,75.9,63.2,73.1,71.5,85.6,66.2,Achievable target,84.2,Pass,True,None
2nd Year,85.7,72.9,62.2,62.8,98.1,74.2,71.0,59.2,Achievable target,75.5,Pass,True,None
3rd Year,82.1,83.5,90.7,65.2,80.1,72.6,86.6,70.8,Achievable target,95.1,Pass,True,None
3rd Year,78.2,84.1,65.8,86.6,92.1,86.7,80.0,66.9,Achievable target,60.1,Fail,False,Overperformance
4th Year,62.9,77.4,72.5,72.5,65.7,73.5,73.9,75.4,Borderline,80.9,Pass,True,None
1st Year,79.2,68.2,61.6,71.2,61.5,68.3,65.3,93.7,Cannot pass,71.1,Fail,True,None
2nd Year,86.2,99.0,63.5,71.0,76.0,83.5,77.2,66.1,Achievable target,79.8,Pass,True,None
4th Year,94.9,87.5,76.7,82.9,77.1,80.4,83.6,57.5,Achievable target,83.2,Pass,True,None
4th Year,72.6,88.2,87.1,90.7,83.1,70.9,75.2,63.6,Achievable target,99.2,Pass,True,None
3rd Year,96.3,78.3,72.7,88.6,91.2,78.2,81.4,61.7,Achievable target,85.9,Pass,True,None
2nd Year,94.5,73.7,63.4,65.8,97.4,79.7,86.0,53.7,Achievable target,76.7,Pass,True,None
3rd Year,89.1,99.5,64.4,62.4,74.9,74.8,85.5,65.0,Achievable target,77.4,Pass,True,None
4th Year,65.9,76.3,66.4,74.6,77.1,66.5,66.1,83.1,Borderline,97.7,Pass,True,None
2nd Year,60.8,91.2,90.7,60.4,96.5,75.4,78.2,65.5,Achievable target,86.2,Pass,True,None
4th Year,82.7,67.3,72.7,92.4,84.5,87.0,85.4,65.4,Achievable target,69.0,Pass,True,None
4th Year,73.7,64.8,79.9,72.1,79.2,60.5,68.6,95.7,Cannot pass,95.3,Fail,True,None
1st Year,68.9,89.5,87.1,95.7,63.5,70.5,75.5,60.1,Achievable target,61.3,Pass,True,None
4th Year,67.6,73.5,90.3,61.9,85.3,74.3,86.5,66.1,Achievable target,70.3,Pass,True,None
2nd Year,97.1,76.9,84.5,76.2,96.3,87.4,82.8,51.9,Achievable target,68.4,Pass,True,None
3rd Year,85.7,69.5,89.0,99.5,77.7,74.0,77.5,71.1,Achievable target,75.0,Pass,True,None
1st Year,61.1,82.2,67.5,62.5,62.8,72.7,69.6,85.2,Borderline,72.2,Fail,True,None
4th Year,78.1,74.1,75.3,60.7,79.6,60.9,71.4,99.5,Cannot pass,79.5,Fail,True,None
4th Year,85.3,96.5,60.7,82.2,83.4,71.3,70.6,52.4,Achievable target,88.7,Pass,True,None
3rd Year,71.9,71.6,89.1,83.9,73.5,73.3,86.5,71.3,Achievable target,99.9,Pass,True,None
2nd Year,65.8,60.6,78.7,65.0,73.6,65.2,71.0,93.9,Cannot pass,67.5,Fail,True,None
4th Year,69.8,81.9,84.8,82.3,93.0,71.6,82.0,51.2,Achievable target,58.4,Pass,True,None
3rd Year,84.3,88.3,67.3,99.4,91.9,84.2,75.0,62.1,Achievable target,53.3,Fail,False,Overperformance
2nd Year,87.4,94.8,98.9,66.6,90.0,84.8,77.9,59.2,Achievable target,57.1,Fail,False,Overperformance
4th Year,62.8,69.2,62.5,77.2,75.1,63.2,62.0,98.9,Cannot pass,97.1,Fail,True,None
4th Year,89.3,81.9,91.8,66.0,97.3,90.0,85.5,50.6,Achievable target,77.4,Pass,True,None
4th Year,85.7,99.5,72.9,98.8,72.6,83.6,87.6,60.6,Achievable target,79.1,Pass,True,None
2nd Year,75.4,67.6,87.8,95.9,85.2,73.5,70.8,58.6,Achievable target,62.1,Pass,True,None
2nd Year,98.8,78.1,65.3,76.5,88.0,75.5,89.3,68.0,Achievable target,77.6,Pass,True,None
3rd Year,90.7,84.0,85.8,75.1,88.7,87.4,88.6,67.7,Achievable target,56.7,Fail,False,Overperformance
4th Year,89.7,78.7,97.5,81.3,84.6,74.3,89.2,68.5,Achievable target,82.2,Pass,True,None
4th Year,65.6,75.0,61.4,72.0,65.4,68.6,74.0,79.0,Borderline,79.1,Pass,True,None
2nd Year,75.8,60.2,75.8,70.8,76.4,71.3,67.2,98.5,Cannot pass,54.1,Fail,True,None
4th Year,94.5,79.2,98.0,74.4,75.1,89.4,74.0,61.3,Achievable target,77.7,Pass,True,None
1st Year,67.7,86.8,68.8,95.3,91.9,89.8,76.7,69.9,Achievable target,75.0,Pass,True,None
1st Year,69.2,96.1,87.7,82.7,70.8,87.9,88.4,72.2,Achievable target,91.2,Pass,True,None
1st Year,78.3,97.1,60.9,69.9,81.2,73.7,80.0,58.0,Achievable target,74.5,Pass,True,None
4th Year,64.6,63.5,63.6,89.6,97.5,86.2,74.5,67.9,Achievable target,52.1,Fail,False,Overperformance
2nd Year,65.7,74.0,98.7,87.9,75.7,76.7,81.7,64.3,Achievable target,97.8,Pass,True,None
4th Year,94.3,65.8,78.5,62.3,76.5,74.8,74.5,60.0,Achievable target,81.2,Pass,True,None
1st Year,65.6,60.5,93.2,99.3,65.2,79.2,86.1,69.8,Achievable target,81.0,Pass,True,None
3rd Year,60.5,97.1,78.0,87.1,98.5,72.9,87.4,66.4,Achievable target,67.8,Pass,True,None
1st Year,66.4,82.5,94.1,61.4,99.2,72.6,74.1,62.1,Achievable target,54.4,Fail,False,Overperformance
2nd Year,80.5,68.1,92.3,81.5,75.6,75.5,76.2,65.2,Achievable target,94.2,Pass,True,None
2nd Year,81.6,65.5,69.3,87.8,88.3,75.4,76.4,51.5,Achievable target,71.3,Pass,True,None
2nd Year,92.2,62.9,94.5,61.7,60.7,80.0,86.7,72.1,Achievable target,96.2,Pass,True,None
2nd Year,61.6,71.2,70.6,66.4,93.8,84.7,72.4,50.1,Achievable target,73.4,Pass,True,None
3rd Year,67.0,87.6,64.0,78.2,85.5,72.2,71.4,76.4,Borderline,81.6,Pass,True,None
1st Year,97.3,64.1,95.1,70.6,95.6,83.4,81.1,67.8,Achievable target,72.8,Pass,True,None
2nd Year,75.2,65.6,72.0,79.7,62.5,81.4,73.4,60.4,Achievable target,77.1,Pass,True,None
4th Year,66.0,89.1,63.6,85.0,84.9,85.2,83.3,59.3,Achievable target,95.9,Pass,True,None
3rd Year,69.9,83.3,85.9,63.4,78.8,74.7,79.0,70.9,Achievable target,99.3,Pass,True,None
4th Year,65.4,79.7,62.1,71.9,76.4,70.1,61.0,95.7,Cannot pass,81.5,Fail,True,None
3rd Year,60.5,72.2,76.2,70.2,75.6,71.2,70.9,95.1,Cannot pass,76.2,Fail,True,None
2nd Year,84.5,87.8,70.9,85.9,81.3,80.3,86.0,56.5,Achievable target,64.7,Pass,True,None
4th Year,85.9,74.6,94.1,73.6,93.6,71.1,89.9,68.3,Achievable target,77.5,Pass,True,None
2nd Year,97.1,99.4,94.7,79.6,73.0,85.2,71.3,61.0,Achievable target,70.6,Pass,True,None
4th Year,70.4,64.8,69.6,69.8,65.6,67.6,68.0,97.7,Cannot pass,73.0,Fail,True,None
1st Year,60.9,64.1,63.7,68.6,61.0,70.4,64.6,93.1,Cannot pass,73.3,Fail,True,None
2nd Year,92.6,72.9,85.1,85.0,97.4,70.9,80.3,59.5,Achievable target,76.8,Pass,True,None
2nd Year,64.2,81.5,88.1,99.0,91.0,87.3,78.5,65.5,Achievable target,97.9,Pass,True,None
3rd Year,61.6,79.9,68.3,97.3,73.2,84.1,75.9,50.1,Achievable target,83.6,Pass,True,None
3rd Year,62.0,97.0,77.3,89.0,79.8,72.5,88.8,59.2,Achievable target,76.6,Pass,True,None
1st Year,78.7,68.5,79.2,90.7,92.6,82.8,83.9,69.4,Achievable target,80.9,Pass,True,None
4th Year,61.2,73.4,87.2,76.2,66.6,74.4,78.7,61.2,Achievable target,66.2,Pass,True,None
2nd Year,79.2,73.3,68.6,60.4,79.5,64.0,65.5,98.8,Cannot pass,58.3,Fail,True,None
3rd Year,72.6,74.3,69.7,81.6,69.0,70.1,71.8,76.0,Borderline,93.0,Pass,True,None
2nd Year,75.1,63.1,64.6,74.5,67.4,67.0,69.7,99.0,Cannot pass,54.6,Fail,True,None
3rd Year,75.9,72.3,99.5,92.7,60.1,85.0,88.6,51.7,Achievable target,51.1,Fail,False,Overperformance
1st Year,79.4,85.8,77.3,82.9,64.0,85.9,73.6,51.5,Achievable target,51.3,Fail,False,Overperformance
2nd Year,66.9,72.2,68.7,69.1,79.4,60.5,66.2,97.9,Cannot pass,63.8,Fail,True,None
1st Year,73.9,60.2,69.4,64.7,81.2,82.5,85.7,52.3,Achievable target,69.6,Pass,True,None
1st Year,62.0,63.3,77.7,77.0,84.3,73.1,85.1,59.9,Achievable target,68.5,Pass,True,None
3rd Year,70.9,93.9,83.0,85.2,68.6,80.0,83.8,57.0,Achievable target,56.7,Fail,False,Overperformance
1st Year,64.8,87.2,81.2,76.5,94.8,79.4,73.9,53.6,Achievable target,99.6,Pass,True,None
2nd Year,94.2,64.0,87.4,81.8,99.1,78.9,89.0,58.6,Achievable target,75.1,Pass,True,None
2nd Year,94.6,62.2,97.4,72.2,86.2,76.5,85.8,63.9,Achievable target,56.1,Fail,False,Overperformance
4th Year,82.3,61.6,73.1,64.6,71.3,85.2,84.1,64.4,Achievable target,75.5,Pass,True,None
1st Year,86.5,63.4,77.1,94.7,67.3,88.1,81.8,56.2,Achievable target,70.5,Pass,True,None
2nd Year,70.6,75.8,61.7,60.5,79.2,68.9,65.2,91.1,Cannot pass,51.4,Fail,True,None
1st Year,89.6,76.8,72.9,76.7,88.8,81.1,88.3,56.5,Achievable target,59.9,Pass,True,None
3rd Year,63.0,69.9,62.0,76.6,76.0,73.6,70.2,85.4,Borderline,98.1,Pass,True,None
2nd Year,63.7,76.0,96.7,89.4,88.9,74.7,86.2,69.0,Achievable target,74.4,Pass,True,None
2nd Year,62.5,85.0,61.1,77.3,61.0,73.9,76.6,69.1,Achievable target,98.0,Pass,True,None
4th Year,74.5,62.9,61.2,64.6,71.6,73.7,89.8,54.7,Achievable target,81.2,Pass,True,None
2nd Year,87.1,87.0,75.9,93.8,82.3,85.1,74.5,52.2,Achievable target,71.1,Pass,True,None
2nd Year,74.9,84.7,86.7,84.7,79.3,70.2,80.1,61.7,Achievable target,62.0,Pass,True,None
2nd Year,63.2,69.6,82.1,66.3,76.3,82.5,75.3,66.5,Achievable target,82.2,Pass,True,None
1st Year,89.7,66.7,86.9,60.4,70.9,73.5,72.5,60.6,Achievable target,67.6,Pass,True,None
4th Year,91.6,75.2,83.6,89.7,90.5,74.6,86.0,66.7,Achievable target,70.0,Pass,True,None
2nd Year,96.4,92.7,95.4,97.2,76.6,86.6,71.8,59.5,Achievable target,74.6,Pass,True,None
2nd Year,64.2,76.6,98.5,64.6,97.6,76.9,70.5,53.4,Achievable target,67.9,Pass,True,None
3rd Year,89.1,96.1,96.3,76.5,90.5,83.3,71.3,52.9,Achievable target,70.3,Pass,True,None
1st Year,67.3,83.9,65.5,88.1,85.7,70.8,71.8,78.2,Borderline,70.2,Fail,True,None
4th Year,65.0,60.7,75.0,68.8,67.5,71.1,60.7,96.3,Cannot pass,51.4,Fail,True,None
1st Year,64.6,69.1,82.5,79.5,99.7,86.1,76.8,68.8,Achievable target,92.8,Pass,True,None
2nd Year,68.2,70.9,61.4,63.7,74.6,70.7,64.3,99.1,Cannot pass,81.5,Fail,True,None
1st Year,66.2,73.6,79.3,95.0,72.4,86.0,88.1,57.9,Achievable target,90.3,Pass,True,None
4th Year,82.2,83.9,91.4,94.5,60.5,72.1,71.8,59.9,Achievable target,91.1,Pass,True,None
2nd Year,76.7,74.2,76.8,71.2,69.8,71.5,71.3,97.9,Cannot pass,99.3,Pass,False,Underperformance
4th Year,71.8,63.3,64.1,74.4,68.7,61.2,69.5,94.5,Cannot pass,76.5,Fail,True,None
1st Year,78.5,82.2,91.7,95.8,78.0,82.3,80.1,69.4,Achievable target,89.3,Pass,True,None
2nd Year,78.8,66.2,71.2,62.4,69.3,67.6,70.1,98.4,Cannot pass,98.5,Pass,False,Underperformance
4th Year,62.8,64.3,92.6,90.9,75.2,73.5,89.1,61.9,Achievable target,87.1,Pass,True,None
4th Year,66.5,80.2,79.4,78.3,98.7,84.6,78.3,62.3,Achievable target,82.2,Pass,True,None
3rd Year,85.7,76.1,69.4,78.4,92.1,71.0,74.5,60.8,Achievable target,94.4,Pass,True,None
3rd Year,95.6,89.4,85.8,94.6,88.3,80.8,89.2,63.7,Achievable target,92.6,Pass,True,None
1st Year,92.4,87.9,63.9,79.8,63.3,78.5,77.9,68.1,Achievable target,90.2,Pass,True,None
3rd Year,68.0,71.5,81.3,90.9,86.8,82.8,74.2,56.5,Achievable target,63.4,Pass,True,None
2nd Year,83.3,66.0,82.3,75.8,83.4,66.8,73.8,82.9,Borderline,67.4,Fail,True,None
4th Year,68.1,72.5,61.8,94.6,89.7,85.2,76.4,50.4,Achievable target,77.8,Pass,True,None
2nd Year,69.2,64.4,69.1,69.5,76.5,84.9,88.0,54.8,Achievable target,95.1,Pass,True,None
2nd Year,73.8,62.6,99.8,97.4,62.8,81.6,70.9,72.4,Achievable target,73.3,Pass,True,None
3rd Year,96.9,83.9,62.8,75.1,65.3,73.4,83.7,50.4,Achievable target,76.3,Pass,True,None
1st Year,77.7,85.6,60.1,68.0,72.2,82.8,73.7,63.8,Achievable target,67.8,Pass,True,None
3rd Year,81.4,60.4,78.2,96.2,83.0,82.3,88.1,58.0,Achievable target,72.8,Pass,True,None
1st Year,71.6,63.2,69.3,64.0,71.1,70.9,74.6,65.3,Achievable target,78.0,Pass,True,None
2nd Year,66.8,74.3,75.7,65.6,75.3,64.2,68.6,93.1,Cannot pass,66.9,Fail,True,None
2nd Year,66.5,99.6,89.6,72.0,73.5,76.6,82.3,69.9,Achievable target,85.9,Pass,True,None
1st Year,61.3,72.7,77.7,66.9,60.3,67.5,67.1,92.0,Cannot pass,94.3,Pass,False,Underperformance
3rd Year,74.7,78.8,60.7,60.4,78.8,64.0,62.6,91.1,Cannot pass,66.3,Fail,True,None
3rd Year,78.2,79.5,83.3,94.8,93.9,83.9,87.5,52.2,Achievable target,98.7,Pass,True,None
3rd Year,65.1,87.7,62.4,65.5,94.1,89.5,74.0,61.0,Achievable target,67.7,Pass,True,None
3rd Year,72.0,77.1,67.3,92.5,64.3,74.5,77.9,60.5,Achievable target,58.7,Fail,False,Overperformance
3rd Year,77.5,70.0,88.6,85.8,93.1,73.8,87.6,55.3,Achievable target,58.8,Pass,True,None
2nd Year,60.0,61.6,79.4,62.7,76.1,61.7,65.7,94.3,Cannot pass,97.0,Pass,False,Underperformance
1st Year,66.8,75.1,63.3,67.0,68.4,61.1,70.8,94.8,Cannot pass,80.8,Fail,True,None
1st Year,78.9,69.9,68.8,72.4,60.9,67.8,67.3,81.4,Borderline,98.0,Pass,False,Ambiguity
3rd Year,78.2,76.2,60.2,67.0,80.2,74.5,89.3,63.4,Achievable target,81.8,Pass,True,None
4th Year,67.1,96.1,84.0,95.1,81.3,86.5,82.1,68.1,Achievable target,71.1,Pass,True,None
4th Year,77.5,73.4,67.0,69.4,70.7,70.2,62.7,98.2,Cannot pass,55.2,Fail,True,None
2nd Year,71.4,76.5,62.5,70.8,75.5,65.4,65.0,94.1,Cannot pass,75.7,Fail,True,None
3rd Year,74.2,71.0,63.4,60.9,64.8,63.6,62.6,90.5,Cannot pass,56.0,Fail,True,None
1st Year,81.9,82.0,67.5,78.0,82.8,73.0,71.9,77.5,Borderline,81.6,Pass,False,Ambiguity
1st Year,77.8,63.7,62.2,85.7,83.3,78.0,86.8,55.3,Achievable target,97.1,Pass,True,None
2nd Year,62.2,84.4,77.3,64.1,62.2,71.2,86.0,51.3,Achievable target,92.7,Pass,True,None
2nd Year,74.6,70.4,72.1,60.0,92.6,86.1,78.8,70.4,Achievable target,80.6,Pass,True,None
2nd Year,63.5,71.4,78.9,63.6,65.6,65.5,69.8,93.2,Cannot pass,88.2,Fail,True,None
2nd Year,95.0,85.7,87.1,62.7,82.5,77.7,86.3,64.6,Achievable target,70.4,Pass,True,None
3rd Year,68.6,72.1,64.5,91.4,91.1,79.0,89.0,71.9,Achievable target,84.4,Pass,True,None
2nd Year,65.9,69.9,85.2,71.2,65.1,87.1,75.9,62.2,Achievable target,84.3,Pass,True,None
3rd Year,68.7,78.9,78.4,65.0,64.0,65.6,69.7,98.5,Cannot pass,84.7,Fail,True,None
2nd Year,64.7,69.2,92.4,88.8,79.3,77.2,84.3,61.5,Achievable target,69.6,Pass,True,None
2nd Year,79.3,71.7,74.1,88.5,68.2,78.0,66.1,84.1,Borderline,89.2,Pass,True,None
4th Year,73.3,65.2,99.2,66.5,77.7,86.6,70.9,66.9,Achievable target,85.5,Pass,True,None
3rd Year,74.6,68.5,67.9,61.4,69.8,70.8,69.8,97.4,Cannot pass,98.9,Pass,False,Underperformance
2nd Year,79.0,97.6,74.3,72.0,66.8,83.7,82.8,65.8,Achievable target,84.9,Pass,True,None
3rd Year,77.7,65.3,62.7,78.0,65.9,63.9,71.4,99.9,Cannot pass,81.2,Fail,True,None
3rd Year,89.4,62.4,72.5,62.0,79.1,74.4,71.2,72.1,Achievable target,86.9,Pass,True,None
4th Year,63.7,61.7,66.4,72.5,60.4,61.1,71.0,91.8,Cannot pass,91.9,Pass,False,Underperformance
1st Year,64.2,75.5,71.0,62.3,77.1,68.0,70.2,99.5,Cannot pass,67.3,Fail,True,None
3rd Year,79.5,77.9,67.5,78.8,65.9,67.3,64.3,90.4,Cannot pass,64.8,Fail,True,None
3rd Year,61.3,79.5,66.2,63.8,73.9,65.0,61.8,95.4,Cannot pass,96.9,Pass,False,Underperformance
3rd Year,65.7,71.9,61.1,66.1,68.6,60.2,60.5,96.6,Cannot pass,50.0,Fail,True,None
3rd Year,74.9,87.9,61.3,63.2,90.0,85.7,80.0,53.5,Achievable target,65.9,Pass,True,None
4th Year,73.8,68.7,65.7,72.4,78.5,64.6,70.1,98.6,Cannot pass,98.3,Fail,True,None
3rd Year,83.1,86.1,81.0,82.2,88.7,74.0,66.8,80.1,Borderline,95.5,Pass,True,None
4th Year,77.5,80.7,64.8,69.0,73.5,89.9,83.0,64.1,Achievable target,72.4,Pass,True,None
2nd Year,78.3,96.7,88.2,71.0,92.9,86.7,75.0,62.1,Achievable target,86.2,Pass,True,None
4th Year,77.2,70.1,79.7,73.4,64.5,75.6,82.1,66.1,Achievable target,60.9,Fail,False,Overperformance
3rd Year,79.0,60.4,67.6,75.6,66.7,61.6,66.5,93.6,Cannot pass,83.3,Fail,True,None
4th Year,86.4,97.6,99.1,99.9,95.3,74.8,86.2,71.1,Achievable target,73.0,Pass,True,None
1st Year,72.1,80.7,80.4,89.9,71.8,87.0,83.2,51.3,Achievable target,95.0,Pass,True,None
3rd Year,86.7,93.5,71.9,96.8,62.0,70.7,87.1,60.0,Achievable target,67.1,Pass,True,None
1st Year,84.6,89.1,96.4,86.4,72.1,79.0,74.4,65.4,Achievable target,66.5,Pass,True,None
3rd Year,74.4,86.6,66.1,90.1,76.9,77.4,85.1,55.5,Achievable target,91.2,Pass,True,None
2nd Year,92.8,90.5,81.2,88.6,98.6,80.1,71.4,54.1,Achievable target,88.7,Pass,True,None
3rd Year,79.3,74.7,83.2,98.5,63.2,70.7,70.8,67.5,Achievable target,84.6,Pass,True,None
3rd Year,75.8,72.8,65.0,76.5,70.7,71.1,63.2,90.1,Cannot pass,63.9,Fail,True,None
1st Year,61.1,67.2,84.2,73.1,72.1,86.6,80.0,65.0,Achievable target,91.6,Pass,True,None
3rd Year,89.8,64.7,65.1,87.8,87.5,73.4,76.1,57.4,Achievable target,66.3,Pass,True,None
2nd Year,79.5,90.3,87.6,85.8,79.6,71.7,84.4,69.0,Achievable target,71.9,Pass,True,None
3rd Year,85.9,60.1,79.1,96.1,86.9,70.3,83.8,59.9,Achievable target,95.8,Pass,True,None
4th Year,75.6,81.4,67.5,64.3,82.8,89.6,74.1,60.8,Achievable target,95.9,Pass,True,None
4th Year,73.4,95.2,92.3,99.6,69.0,76.3,77.8,66.5,Achievable target,98.6,Pass,True,None
2nd Year,85.1,67.1,71.9,60.4,74.4,65.2,73.3,87.0,Borderline,89.4,Pass,True,None
1st Year,65.4,71.8,66.0,79.3,61.2,60.3,70.0,98.6,Cannot pass,68.6,Fail,True,None
3rd Year,98.8,67.1,98.5,70.6,64.3,88.8,72.3,60.4,Achievable target,89.3,Pass,True,None
3rd Year,70.7,85.8,70.8,77.8,94.5,76.3,75.8,58.7,Achievable target,82.9,Pass,True,None
4th Year,91.7,75.6,92.9,94.0,76.6,76.9,86.9,54.3,Achievable target,82.5,Pass,True,None
4th Year,74.2,73.2,64.0,78.3,87.9,77.6,71.1,67.4,Achievable target,65.4,Fail,False,Overperformance
2nd Year,61.3,60.8,70.4,64.2,73.7,79.0,86.0,71.3,Achievable target,75.9,Pass,True,None
2nd Year,64.3,94.9,94.3,68.9,92.7,75.3,85.7,61.0,Achievable target,72.9,Pass,True,None
4th Year,69.3,84.0,86.4,60.4,75.4,71.9,85.0,69.1,Achievable target,96.3,Pass,True,None
2nd Year,97.5,96.5,67.0,95.3,67.0,80.7,84.5,72.1,Achievable target,99.9,Pass,True,None
3rd Year,81.7,79.8,97.5,94.0,78.7,75.7,89.8,54.6,Achievable target,59.7,Pass,True,None
3rd Year,66.9,69.5,72.7,89.5,74.4,88.7,89.8,64.2,Achievable target,89.4,Pass,True,None
